,Valor,Efetuado,Fixo,Data,Categoria,Descrição
0,3200,1,1,2024-02-01,Salário,Salário mensal
1,300,1,0,2024-02-05,Freelance,Design de cartão de visita
2,150,1,0,2024-02-08,Reembolso,Deslocamento do trabalho
3,200,1,0,2024-02-10,Freelance,Edição de vídeo
4,50,1,0,2024-02-12,Presente,Ajuda de familiar
5,120,1,0,2024-02-15,Vendas,Venda de roupas usadas
6,80,1,0,2024-02-18,Vendas,Venda de livro usado
7,150,1,0,2024-02-20,Freelance,Manutenção de computador
8,40,1,0,2024-02-22,Reembolso,Material de escritório
9,200,1,0,2024-02-25,Freelance,Criação de logotipo
